Id,SalePrice
1461,126044.41
1462,169054.66
1463,188898.28
1464,199380.98
1465,180540.72
1466,177581.42
1467,172658.38
1468,169239.7
1469,178495.19
1470,128104.74
1471,204776.06
1472,91427.445
1473,95787.97
1474,144641.94
1475,131913.39
1476,391493.8
1477,270629.4
1478,299325.25
1479,283815.8
1480,502661.34
1481,324949.2
1482,203154.25
1483,175285.2
1484,172395.83
1485,175892.66
1486,199854.5
1487,392966.75
1488,217146.2
1489,217674.08
1490,224648.47
1491,188137.4
1492,89881.586
1493,190137.84
1494,291167.38
1495,277547.38
1496,230332.1
1497,176014.84
1498,162699.28
1499,159457.7
1500,156107.3
1501,176683.52
1502,139883.33
1503,313642.88
1504,236103.48
1505,234149.03
1506,180840.58
1507,234179.06
1508,207365.34
1509,164967.34
1510,146583.58
1511,147631.31
1512,172201.55
1513,147039.12
1514,174963.25
1515,189812.66
1516,159070.47
1517,155907.11
1518,126011.08
1519,216534.8
1520,135654.6
1521,142312.36
1522,168774.88
1523,110036.36
1524,120847.31
1525,127118.37
1526,117666.31
1527,100388.81
1528,127604.305
1529,157118.77
1530,175296.94
1531,104725.4
1532,96086.68
1533,159994.08
1534,120459.17
1535,153314.53
1536,113037.94
1537,84665.01
1538,185596.64
1539,205765.62
1540,95697.95
1541,146224.9
1542,139131.08
1543,217224.61
1544,85128.15
1545,111844.34
1546,129498.91
1547,135317.5
1548,144909.81
1549,115787.64
1550,148680.64
1551,107804.59
1552,135938.56
1553,152616.0
1554,107015.63
1555,176351.34
1556,87824.65
1557,110083.87
1558,98105.42
1559,72382.83
1560,138641.64
1561,138428.6
1562,130529.86
1563,121671.99
1564,159893.84
1565,145829.03
1566,215757.84
1567,79799.586
1568,229407.48
1569,138781.27
1570,131679.86
1571,117259.07
1572,145993.6
1573,241107.12
1574,112983.27
1575,218386.14
1576,226985.94
1577,191729.06
1578,151619.42
1579,154126.03
1580,200476.7
1581,164574.7
1582,124172.78
1583,339654.88
1584,236890.34
1585,138427.78
1586,73144.664
1587,99057.99
1588,144349.94
1589,101614.68
1590,136117.98
1591,89580.125
1592,107882.62
1593,129908.74
1594,148055.42
1595,107042.15
1596,240111.2
1597,174244.0
1598,200061.14
1599,179357.58
1600,186417.27
1601,56904.26
1602,112290.37
1603,83895.21
1604,273259.38
1605,246841.1
1606,165845.62
1607,155406.94
1608,206933.23
1609,195105.61
1610,160675.86
1611,141944.12
1612,160280.9
1613,163289.94
1614,114236.14
1615,83064.734
1616,63938.062
1617,90250.62
1618,121497.75
1619,141422.05
1620,154414.92
1621,139439.12
1622,148441.2
1623,271337.66
1624,211783.47
1625,131450.89
1626,159783.88
1627,192626.84
1628,278927.66
1629,180976.1
1630,366070.66
1631,227314.31
1632,243657.22
1633,171960.9
1634,190333.58
1635,183635.08
1636,157917.83
1637,194230.64
1638,193599.3
1639,182623.72
1640,269606.78
1641,180283.84
1642,240490.48
1643,219888.89
1644,224054.34
1645,197586.95
1646,153999.75
1647,162005.08
1648,135583.39
1649,142929.2
1650,116416.47
1651,117479.99
1652,89474.81
1653,95381.41
1654,155861.78
1655,153836.75
1656,147161.05
1657,155101.2
1658,144492.05
1659,133892.44
1660,153732.0
1661,429881.28
1662,423601.78
1663,397946.56
1664,402435.8
1665,335906.97
1666,328292.88
1667,372069.0
1668,337209.38
1669,314711.94
1670,361405.12
1671,260673.94
1672,490490.75
1673,297760.75
1674,246296.14
1675,182085.48
1676,195441.56
1677,213780.39
1678,464881.75
1679,380167.66
1680,349884.4
1681,272158.5
1682,281878.4
1683,168000.17
1684,169723.16
1685,173754.48
1686,165126.77
1687,164505.33
1688,185033.56
1689,189975.4
1690,185174.94
1691,177852.8
1692,269399.44
1693,168402.83
1694,189412.45
1695,167928.88
1696,269950.5
1697,174602.28
1698,378416.66
1699,350024.84
1700,243921.11
1701,261262.81
1702,247008.7
1703,251624.22
1704,291123.3
1705,231740.42
1706,376861.44
1707,209537.66
1708,217002.31
1709,299326.88
1710,224666.0
1711,247544.0
1712,264857.44
1713,260525.27
1714,222860.77
1715,214988.73
1716,190770.61
1717,177629.12
1718,126275.55
1719,186393.64
1720,238975.08
1721,171043.34
1722,123394.09
1723,153723.95
1724,214925.67
1725,254632.64
1726,191641.23
1727,160334.03
1728,171837.03
1729,164339.02
1730,169450.98
1731,123118.96
1732,142644.45
1733,117125.195
1734,120342.63
1735,132672.19
1736,115795.89
1737,385487.75
1738,214268.55
1739,271568.2
1740,247451.8
1741,197575.11
1742,170257.44
1743,165535.77
1744,313812.03
1745,238622.98
1746,211264.45
1747,211552.2
1748,238297.53
1749,155651.81
1750,123856.75
1751,240326.78
1752,122587.734
1753,138500.9
1754,210317.42
1755,169623.42
1756,133388.92
1757,124106.63
1758,153391.4
1759,164212.42
1760,169127.58
1761,147860.73
1762,194460.42
1763,169889.06
1764,116233.81
1765,156023.44
1766,173308.98
1767,212606.77
1768,146440.98
1769,179037.62
1770,150965.77
1771,131415.2
1772,143163.12
1773,134914.56
1774,125424.92
1775,137380.39
1776,132211.81
1777,117383.445
1778,136059.69
1779,120119.77
1780,166705.97
1781,133536.64
1782,94143.69
1783,136366.7
1784,107310.01
1785,131723.78
1786,152357.89
1787,158868.62
1788,52019.625
1789,103570.7
1790,70924.5
1791,185596.22
1792,161075.08
1793,129315.43
1794,149074.78
1795,132201.27
1796,121596.59
1797,116077.64
1798,127638.625
1799,119511.125
1800,146293.31
1801,126794.984
1802,134010.86
1803,139778.98
1804,142865.11
1805,134988.8
1806,111331.01
1807,128499.87
1808,128153.27
1809,113162.8
1810,148566.19
1811,100488.68
1812,103879.72
1813,124844.445
1814,100030.305
1815,49081.367
1816,100686.84
1817,113044.87
1818,149895.97
1819,119900.625
1820,45777.297
1821,109529.97
1822,151516.66
1823,43328.08
1824,137532.75
1825,129865.25
1826,100068.21
1827,103030.84
1828,142731.14
1829,138318.16
1830,149061.17
1831,162897.84
1832,78236.22
1833,136513.77
1834,116350.72
1835,138085.3
1836,132937.47
1837,95726.12
1838,130100.44
1839,89217.91
1840,175136.25
1841,145537.4
1842,86867.11
1843,142927.28
1844,140538.92
1845,134163.7
1846,150628.48
1847,164250.12
1848,56275.445
1849,107811.12
1850,121784.0
1851,153964.4
1852,128607.04
1853,120195.15
1854,162473.23
1855,135276.89
1856,212793.1
1857,134029.2
1858,137454.72
1859,119084.28
1860,159692.53
1861,119084.28
1862,350246.28
1863,335720.38
1864,339590.84
1865,328834.25
1866,341940.94
1867,244893.9
1868,311922.8
1869,197977.25
1870,236492.45
1871,242513.06
1872,174844.03
1873,223041.0
1874,145108.16
1875,199711.44
1876,204629.64
1877,206391.62
1878,195846.97
1879,136150.89
1880,136196.45
1881,232308.52
1882,248684.45
1883,192926.31
1884,204902.33
1885,250105.23
1886,301250.72
1887,203969.78
1888,287922.44
1889,159527.33
1890,130214.914
1891,135952.9
1892,97127.94
1893,124305.25
1894,125204.87
1895,126319.2
1896,127787.57
1897,123337.84
1898,106243.99
1899,150149.95
1900,149821.77
1901,159958.3
1902,144060.19
1903,219812.14
1904,153272.19
1905,200074.75
1906,165683.58
1907,190482.16
1908,113348.914
1909,135286.84
1910,117679.29
1911,219166.27
1912,302624.38
1913,140035.95
1914,45584.586
1915,347545.2
1916,52856.39
1917,261800.4
1918,140806.11
1919,165345.3
1920,130290.08
1921,402794.25
1922,329676.0
1923,214233.36
1924,195951.36
1925,193360.23
1926,396700.5
1927,135402.55
1928,157889.25
1929,127809.27
1930,141680.72
1931,145986.52
1932,138650.31
1933,184519.19
1934,190163.12
1935,172825.9
1936,189104.8
1937,183222.95
1938,174259.02
1939,237528.9
1940,179172.06
1941,178167.19
1942,185364.2
1943,196342.72
1944,338516.97
1945,387415.8
1946,128544.39
1947,355176.7
1948,181886.92
1949,241670.19
1950,172790.47
1951,256443.1
1952,232609.33
1953,170405.84
1954,176103.42
1955,132420.02
1956,332815.5
1957,139268.06
1958,298779.2
1959,130425.07
1960,119591.914
1961,122292.28
1962,95283.055
1963,102281.17
1964,107364.34
1965,140662.62
1966,146914.61
1967,296454.06
1968,447250.2
1969,384551.25
1970,447661.03
1971,439893.7
1972,368626.75
1973,255013.28
1974,312234.53
1975,508021.22
1976,263929.88
1977,348903.84
1978,402281.06
1979,347188.44
1980,199814.44
1981,337710.66
1982,243805.69
1983,219679.27
1984,160695.36
1985,215007.5
1986,214162.17
1987,167100.47
1988,178958.23
1989,191479.97
1990,216968.11
1991,241769.17
1992,211841.9
1993,166599.61
1994,256002.75
1995,183934.69
1996,244041.28
1997,317096.97
1998,350409.03
1999,281190.78
2000,313293.78
2001,251700.84
2002,245634.52
2003,246275.19
2004,269225.25
2005,226631.4
2006,229920.28
2007,232446.16
2008,211906.9
2009,188992.75
2010,187814.9
2011,151596.95
2012,173282.17
2013,183837.8
2014,186535.58
2015,201937.25
2016,196570.98
2017,198087.58
2018,115401.31
2019,129057.36
2020,99053.47
2021,109498.61
2022,166710.6
2023,145322.62
2024,243511.75
2025,373140.34
2026,165734.67
2027,158567.34
2028,148034.9
2029,174217.0
2030,275787.94
2031,265239.03
2032,288510.12
2033,274751.97
2034,157044.62
2035,213294.14
2036,178680.8
2037,181256.69
2038,309984.88
2039,226227.66
2040,349498.78
2041,278987.12
2042,206169.34
2043,173382.5
2044,177512.12
2045,213840.75
2046,135033.34
2047,142190.53
2048,135496.58
2049,135112.2
2050,184130.56
2051,110468.234
2052,129850.83
